"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSMUSG00000025902.13" 55.1122009533192 0.00662795941923782 0.786117011377538 0.00843126318768174 0.99327290497518 1
"ENSMUSG00000103922.1" 55.8962181160284 0.151217530672549 0.404361599869773 0.373966100443883 0.708429537229973 1
"ENSMUSG00000033845.13" 1571.17779280117 -0.0649715025119156 0.361728454363823 -0.179614021866712 0.85745559585536 1
"ENSMUSG00000025903.14" 888.514519361725 -0.238749069998372 0.287074394564632 -0.831662713633694 0.405599352531332 1
"ENSMUSG00000033813.15" 518.938221322383 -0.181267406797935 0.402465148243525 -0.450392804418069 0.652427232446701 1
"ENSMUSG00000033793.12" 1211.44752734866 -0.152252026899492 0.273025996694075 -0.557646629782623 0.577085708428741 1
"ENSMUSG00000025907.14" 752.583420026163 0.239990470417384 0.166802880432992 1.43876694331902 0.150216565188864 1
"ENSMUSG00000090031.2" 45.1170022503629 -0.124569154513112 0.390155188780291 -0.319281040199776 0.749513408628998 1
"ENSMUSG00000051285.17" 992.338097687629 -0.172939976200654 0.293117570935041 -0.590002078855176 0.555189255788395 1
"ENSMUSG00000103509.1" 149.520007103036 0.0814851636070716 0.389939734760217 0.208968608077806 0.834472744715861 1
"ENSMUSG00000061024.8" 591.893351433888 -0.0401788025252639 0.265555899996204 -0.151300733765804 0.879738490484525 1
"ENSMUSG00000025911.14" 58.2687106023986 0.243211393000937 0.515138034054792 0.47212858869409 0.63683500759984 1
"ENSMUSG00000025912.16" 383.451122409412 -0.106774165675464 0.186233424238068 -0.57333513633391 0.566417799392421 1
"ENSMUSG00000045210.8" 694.372003074076 0.0294550656813548 0.2357267233769 0.124954291390457 0.900559736823689 1
"ENSMUSG00000025915.14" 409.911221596277 -0.262209897508013 0.394595424342495 -0.664503137472837 0.506368341526099 1
"ENSMUSG00000046101.16" 19.798668219352 0.280874098248629 0.68076654542241 0.412585048629775 0.679910657346228 1
"ENSMUSG00000098234.7" 799.753203094674 -0.220259388162348 0.425303544063168 -0.517887497616606 0.60453676552872 1
"ENSMUSG00000093178.1" 16.3694335040892 -0.0401700613021845 0.535389563366735 -0.0750295934974521 0.940191166041624 1
"ENSMUSG00000099032.2" 131.463983600206 0.0049603818976031 0.240055245097285 0.0206635014185708 0.983514084447845 1
"ENSMUSG00000025917.9" 2344.08200064763 0.0785271567894896 0.406255584489488 0.193294959595864 0.846727973553772 1
"ENSMUSG00000056763.16" 628.001533422834 -0.343808206529074 0.166869093902799 -2.06034681730424 0.0393653972210357 1
"ENSMUSG00000067851.11" 1505.73848205019 0.0740653943972982 0.28476894094898 0.260089440057889 0.794794783313004 1
"ENSMUSG00000048960.13" 251.701516884064 0.117165792177785 0.302413044565175 0.387436303702614 0.698433231874684 1
"ENSMUSG00000057715.13" 65.8632562547598 -0.283554754999711 0.315206043128953 -0.899585401932495 0.368340928717143 1
"ENSMUSG00000016918.15" 403.317933469656 -0.176259458297868 0.235095883584355 -0.749734345027884 0.453414718004228 1
"ENSMUSG00000025938.16" 166.391880452389 0.735279929527302 0.397094496845804 1.85164975935896 0.064076132786076 1
"ENSMUSG00000042414.7" 272.985153955408 -0.878177940455293 0.239637091678807 -3.66461608385876 0.00024770987139716 0.0412571675488522
